institute,rank,score,program_name,score,sector
"Indian School of Business (ISB), Hyderabad",1,950.3,Post Graduate Programme in Management (PGP),950.3,P
Indian Institute of Management (IIM) Ahmedabad,2,949.1,Post Graduate Programme in Management for Executives (PGPX),949.1,G
Indian Institute of Management (IIM) Bangalore,3,925.4,Executive Post Graduate Programme in Management (EPGP),925.4,G
Indian Institute of Management (IIM) Calcutta,4,918,MBA for Executives Programme (MBAEx),918,G
Indian Institute of Management (IIM) Kozhikode,5,885.7,Post Graduate Programme in Business Leadership (PGP-BL),885.7,G
Indian Institute of Management (IIM) Indore,6,865.3,Executive Post Graduate Programme in Management (EPGP),865.3,G
Indian Institute of Management (IIM) Lucknow,7,834.2,International Programme in Management for Executives (IPMX),834.2,G
"S.P. Jain Institute of Management & Research (SPJIMR), Mumbai",8,805.3,Post Graduate Programme in Management (PGPM),805.3,P
"XLRI Xavier School of Management, Jamshedpur",9,804.8,"PGDM (GM), previously known as GMP",804.8,P
Indian Institute of Management (IIM) Shillong,10,799,"Post Graduate Program
for Executives (PGPEx)",799,G
Management Development Institute (MDI) Gurgaon,11,791.6,Post Graduate Diploma in Management - Business Management (PGDM-BM),791.6,P
"Great Lakes Institute of Management, Chennai",12,761.7,PGPM - Post Graduate Program in Management,761.7,P
Indian Institute of Management (IIM) Udaipur,13,761,EMBA - Global Supply Chain Management (GSCM) & Digital Enterprise Management (DEM),761,G
"International Management Institute, New Delhi",14,757.3,PGDM (Executive),757.3,P
"Institute of Management Technology (IMT), Ghaziabad",15,754.5,PGDM ExP,754.5,P
"Xavier Institute of Management (XIMB), XIM University, Bhubaneswar",16,725.8,Executive MBA,725.8,P
"Indian Institute of Foreign Trade (IIFT), New Delhi",17,721.9,Executive Post Graduate Diploma in International Business (EPGDIB),721.9,G
"Great Lakes Institute of Management, Gurgaon",18,703.2,Post Graduate Certificate in Management (PGCM),703.2,P
"K J Somaiya Institute of Management, Mumbai",19,695.4,MBA-Executive,695.4,P
"SOIL Institute of Management, Gurugram",20,611.5,Post Graduate Program in Manaqement (PGPM),611.5,P
