institute,rank,score,state,zone,sector,year,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Calcutta,1,899.9,West Bengal,East,G,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Ahmedabad,2,897.1,Gujarat,West,G,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Bangalore,3,892.3,Karnataka,South,G,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Lucknow,4,861.8,Uttar Pradesh,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
"S.P. Jain Institute of Management & Research (SPJIMR), Mumbai",5,856.6,Maharashtra,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Indore,6,847.3,Madhya Pradesh,West,G,2022,,,,,,,,,,,,,,,,,,,,,,
Management Development Institute (MDI) Gurgaon,7,811,Haryana,North,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Faculty of Management Studies (FMS), University of Delhi",8,794.8,Delhi,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
"Indian Institute of Foreign Trade (IIFT), New Delhi",9,789.6,Delhi,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
"SVKM's NMIMS School of Business Management, Mumbai",10,775,Maharashtra,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
"International Management Institute, New Delhi",11,773.1,Delhi,North,P,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Shillong,12,762.7,Meghalaya,East,G,2022,,,,,,,,,,,,,,,,,,,,,,
"Institute of Management Technology (IMT), Ghaziabad",13,761.5,Uttar Pradesh,North,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis Institute of Business Management, Pune",14,757.1,Maharashtra,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis Centre for Management & Human Resource Development, Pune",15,756.1,Maharashtra,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies, IIT Delhi, New Delhi",16,751.5,Delhi,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
"Great Lakes Institute of Management, Chennai",17,751.4,Tamil Nadu,South,P,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Udaipur,18,751.1,Rajasthan,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Tiruchirappalli,19,750.4,Tamil Nadu,South,G,2022,,,,,,,,,,,,,,,,,,,,,,
"Xavier Institute of Management (XIMB), XIM University, Bhubaneswar",20,749.1,Odisha,East,P,2022,,,,,,,,,,,,,,,,,,,,,,
"T. A. Pai Management Institute (TAPMI), Manipal",21,748.4,Karnataka,South,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Jamnalal Bajaj Institute of Management Studies (JBIMS), Mumbai",22,747,Maharashtra,West,G,2022,,,,,,,,,,,,,,,,,,,,,,
"ICFAI Business School (IBS), Hyderabad",23,744.8,Telangana,South,P,2022,,,,,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) Nagpur,24,740.7,Maharashtra,West,G,2022,,,,,,,,,,,,,,,,,,,,,,
"K J Somaiya Institute of Management, Mumbai",25,740.2,Maharashtra,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Jagdish Sheth School of Management (JAGSoM), Bengaluru",26,735.7,Karnataka,South,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Goa Institute of Management (GIM), Sanquelim",27,732.1,Goa,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Indian Institute of Management (IIM) Kashipur, Udham Singh Nagar",28,726.2,Uttarakhand,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
Institute of Rural Management Anand (IRMA),29,725.9,Gujarat,West,P,2022,,,,,,,,,,,,,,,,,,,,,,
"SVKM's Narsee Monjee Institute of Management Studies, Bengaluru ",29,725.9,Karnataka,South,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Birla Institute of Management Technology, Greater Noida",31,725.3,Uttar Pradesh,North,P,2022,,,,,,,,,,,,,,,,,,,,,,
"Department of Industrial and Management Engineering, IIT Kanpur",32,724.5,Uttar Pradesh,North,G,2022,,,,,,,,,,,,,,,,,,,,,,
