institute_name,govt_pvt,overall_score,living_experience_score,placement_performance_score,selection_process_governance_establishment_score,future_orientation_score,rank
Indian Institute of Management Calcutta (IIM-C),G,899.9,213.9,227.6,135.4,179.5,1
Indian Institute of Management Ahmedabad (IIM-A),G,897.1,226,226.8,135.5,167.5,2
Indian Institute of Management Bangalore (IIM-B),G,892.3,216.9,231.1,130.7,169.3,3
Indian Institute of Management Lucknow (IIM-L),G,861.8,204.3,217.5,132.8,168.3,4
S. P. Jain Institute of Management & Research (SPJIMR),P,856.6,213.7,206,124.4,179.2,5
Indian Institute of Management Indore (IIM-I),G,847.3,203.3,201.1,127,178.8,6
Management Development Institute (MDI) Gurgaon,P,811,196,203.8,120.2,158.7,7
"Faculty of Management Studies (FMS), University of Delhi",G,794.8,196.1,212.7,121.7,133,8
Indian Institute of Foreign Trade (IIFT),G,789.6,189.5,203.8,115.6,151,9
"SVKM's NMIMS, School of Business Management",P,775,185.1,200,115.4,145,10
"International Management Institute (IMI), New Delhi",P,773.1,187.3,187.3,115.3,156.5,11
Indian Institute of Management Shillong,G,762.7,185.1,197.6,111.1,137.1,12
"Institute of Management Technology (IMT), Ghaziabad",P,761.5,191.8,181,111.2,148.4,13
Symbiosis Institute of Business Management (SIBM) Pune ,P,757.1,194,195.3,106.1,134.8,14
Symbiosis Centre for Management & Human Resource Development (SCMHRD),P,756.1,181.7,190.3,114.3,146.2,15
"Department of Management Studies, IIT Delhi",G,751.5,185.4,184.5,119.5,129.3,16
Great Lakes Institute of Management,P,751.4,187.5,183.4,108.3,142.9,17
Indian Institute of Management Udaipur,G,751.1,186.8,184,107.3,146.4,18
Indian Institute of Management Tiruchirappalli,G,750.4,179.9,182.7,123.6,135.4,19
"Xavier Institute of Management (XIMB), Xavier University",P,749.1,182.2,193.4,117.1,130,20
"T. A. Pai Management Institute (TAPMI), Manipal",P,748.4,178.9,173,109.3,159,21
Jamnalal Bajaj Institute of Management Studies (JBIMS),G,747,188.7,199.2,113.6,125.4,22
"ICFAI Business School, Hyderabad",P,744.8,187.1,171.7,114.2,145.2,23
Indian Institute of Management Nagpur,G,740.7,184.1,180.9,112.6,124.8,24
K J Somaiya Institute of Management ,P,740.2,183.2,171,108.8,150.7,25
Jagdish Sheth School of Management (JAGSOM),P,735.7,187.7,165.7,106.5,151.6,26
Goa Institute of Management,P,732.1,188,170.5,112.8,135.9,27
Indian Institute of Management Kashipur,G,726.2,183.6,183.6,112.4,119.8,28
Institute of Rural Management Anand,P,725.9,175.8,178.3,112.6,127.2,29
SVKM's Narsee Monjee Institute of Management Studies (NMIMS),P,725.9,179.5,175,104.9,143.6,29
Birla Institute of Management Technology (BIMTECH),P,725.3,181.9,173.4,113,128,31
"Department of Industrial and Management Engineering, IIT Kanpur ",G,724.5,187.4,176.3,111.5,127.8,32
Lal Bahadur Shastri Institute of Management,P,722.7,183.6,173.5,109.6,134.5,33
Indian Institute of Management Amritsar,G,720.2,178.9,177.4,108.7,139.2,34
"Sydenham Institute of Management Studies, Research & Entrepreneurship Education (SIMSREE)",G,717.7,181.1,178.7,111.3,133.6,35
"Institute of Management, Nirma University",P,717.5,180.6,169,112.8,128.6,36
National Institute of Agricultural Extension Management (MANAGE),G,707.6,185.9,173.7,100.4,119.6,37
Symbiosis Institute of Operations Management,P,705.4,179.6,173.4,108.7,125.4,38
"S. P. Mandali's Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai",P,705,183.5,166.4,106.7,139.9,39
Rajagiri Centre for Business Studies,P,704.3,180,158.5,95.2,145.8,40
Symbiosis Institute of International Business (SIIB),P,700.6,183,169.8,97.6,127.7,41
Loyola Institute of Business Administration (LIBA),P,699.8,183.2,160.3,107.8,133.2,42
Indian Institute of Management Sambalpur,G,695.5,176.9,172,110,114.6,43
